,Unnamed: 0,title,authors,journal,year,abstract,Relevance_Score
51,51,Health-Related Quality of Life (HRQOL) Instruments and Mobility: A Systematic Review,"N. Hernández-Segura, Alba Marcos-Delgado, A. Pinto-Carral",International Journal of Environmental Research and Public Health,2022,"Physical function is one of the most important constructs assessed in health-related quality of life (HRQOL), and it could be very useful to assess movement ability from the perspective of the patient. The objective of this study was to compare the content of the domains related to mobility covered by the HRQOL questionnaires based on the International Classification of Functioning, Disability and Health (ICF) and to evaluate their quality according to the COnsensus-based Standards for the selection of health Measurement INstruments (COSMIN) guidance. For this, a systematic review was carried out in the databases Scopus, Web of Science and Science Direct. The inclusion criteria were development and/or validation studies about generic HRQOL measures, and the instruments had to include items related to mobility and studies written in English or Spanish. The comparison of content was performed using the ICF coding system. A total of 3614 articles were found, 20 generic HRQOL instruments were identified and 120 (22.4%) mobility-related items were found. Walking was the most represented category. Low-quality evidence on some measurement properties of the generic HRQOL instruments was revealed. The CAT-Health is a useful questionnaire to be used in rehabilitation due to its psychometric properties and its content.",0.0
52,52,Mobile healthcare platforms' sustainability: The perspective of health information quality,"Xiaoyang Sun, Wenjing Zhou, Ying Feng · Jan 6, 202",Frontiers in Public Health,2023,"As an emerging form of medical organization, Chinese mobile healthcare (mHealth) platforms are inherently linked to the continuous use of users, which depends on the quality of the health information provided. However, improving the health information quality of mHealth platforms is still a problem that needs to be studied and solved in order to make the platforms sustainable. Based on the reputation mechanism, this study creates a behavioral evolutionary game model for health information providers (physicians) and managers (mHealth platforms), explores the evolution process and evolutionarily stable strategy of the behaviors in various situations, and uses numerical simulation technology to analyze mHealth platforms' constraints and the influencing factors of health information quality. This study presents three key findings. First, considering reputation, health information managers and mHealth platform providers should not unilaterally optimize health information. Instead, mHealth platforms should have active quality control, and physician groups should provide high-quality health information, which is the ideal evolution of the model. Second, the rewards that physicians receive from patients and mHealth platforms for providing quality health information, the reputation benefits, the penalties that physicians suffer for providing low-quality health information, and the increased probability and cost of rent-seeking behavior that physicians may choose can effectively promote the choice of physicians to provide high-quality health information. Third, the reputation gain of mHealth platforms, the probability of mHealth platforms being exposed, and increased losses suffered from exposure can effectively promote the choice of mHealth platforms to control the quality of health information. This study can provide a theoretical basis for mHealth platforms' health information quality control, which is conducive to the healthy and sustainable development of mHealth platforms and the improvement of user satisfaction.",0.024620326756979047
53,53,The Analysis of the Relationship between the Quality of Life Level and Expectations of Patients with Cardiovascular Diseases under the Home Care of Primary Care Nurses,"E. Szlenk-Czyczerska, Marika Guzek, D. Bielska",International Journal of Environmental Research and Public Health,2022,"The World Health Organization defines quality of life as a person’s perception of his or her life situation in relation to the culture and value system in which he or she lives, in relation to and with respect to his or her functioning assumptions, expectations, and standards set by environmental conditions. Meeting the expectations of patients with CVD is one of the factors that positively influences their health status and leads to better diagnostic and treatment outcomes. The aim of this study was to answer three main questions related to patients with chronic cardiovascular disease: (1) What is their quality of life? (2) Are patients’ expectations about the quality of care provided by primary health care physicians/nurses met (and at what level)? (3) Is there a correlation between patients’ quality of life and their expectations of primary health care physicians/nurses? The study involved 193 Polish CVD patients who were cared for at home by a family nurse practitioner working in primary health care facilities. Data were collected from March 2016 to January 2017. The WHOQOL-BREF Quality of Life Questionnaire and the Author Interview Questionnaire were used for the study. Data analysis was based on the Spearman correlation coefficient test. There was a statistically significant association between patients’ expectations of the physician regarding information about the course of the disease and quality of life in the following domains: environmental r = 0.20, p = 0.006, psychological: r = 0.18, p = 0.015, physical: r = 0.18, p = 0.013, and social: r = 0.16, p = 0.025. Patients who did not expect the nurse to be courteous, understanding, or interested were found to have higher quality of life scores in psychological (r = −0.17, p = 0.023) and physical (r = −0.15, p = 0.044) domains. There was a statistically significant relationship between expectations of care from nurses regarding intimacy during care activities and the level of satisfaction with one’s own health (r = −0.15, p = 0.038) and quality of life (r = −0.14, p = 0.045), as well as quality of life in the domains of physical (r = 0.21, p = 0.004), social (r = 0.19, p = 0.010), and psychological (r = 0.16, p = 0.024). There is a need to define the expectations of patients with chronic cardiovascular disease in primary care, as lack of expectations of a physician/nurse continues to be associated with lower quality of life in all domains.",0.0
54,54,Bullying and Health Related Quality of Life among Adolescents—A Systematic Review,"V. Dubey, Justina Kievišienė, Alona Rauckiene-Michealsson",Children,2022,"Health-related quality of life is among global health goals not only in adulthood but also in childhood and adolescence. Being a multi-component construct, health-related quality of life covers various domains, such as physical and psychological wellbeing and social and environmental areas. Bullying might significantly influence those domains especially in adolescence, a period of life when numerous personal and interpersonal transformations are experienced. Therefore, the aim of the current systematic review was to provide a comprehensive overview of the relationship of bullying with the health-related quality of adolescents’ lives. An electronic literature search was performed using PubMed, Embase, and Cochrane Library, and 3621 full-text articles were identified. After a selection process, 12 studies covering diagnosis, prevention and treatment for each of the three sections “adolescents”, “health related quality of life” and “bullying” were reviewed. An overall reduction in health-related quality of life in regard to bullying appeared from the studies analyzed, as well as a decline in adolescent mental health. Different bullying types were identified as causing harm to various adolescents‘ health-related quality of life domains. These findings may contribute to effective bullying management in schools and/or societal settings, and inform intervention strategies for maintaining the quality of life of adolescents being bullied.",0.0
55,55,Review of the Impact of Housing Quality on Inequalities in Health and Well-Being.,"P. Howden-Chapman, Julie Bennett, R. Edwards",Annual review of public health,2022,"Housing quality is essential for population health and broader well-being. The World Health Organization housing and health guidelines highlight interventions that protect occupants from cold and hot temperatures, injuries, and other hazards. The COVID-19 pandemic has emphasized the importance of ventilation standards. Housing standards are unevenly developed, implemented, and monitored globally, despite robust research demonstrating that retrofitting existing houses and constructing high-quality new ones can reduce respiratory, cardiovascular, and infectious diseases. Indigenous peoples, ethnic minorities, and people with low incomes face cumulative disadvantages that are exacerbated by poor-quality housing. These can be partially ameliorated by community-based programs to improve housing quality, particularly for children and older people, who are hospitalized more often for housing-related illnesses. There is renewed interest among policy makers and researchers in the health and well-being of people in public and subsidized housing, who are disproportionately disadvantaged by avoidable housing-related diseases and injuries. Improving the overall quality of new and existing housing and neighborhoods has multiple cobenefits, including reducing carbon emissions. Expected final online publication date for the Annual Review of Public Health, Volume 44 is April 2023. Please see http://www.annualreviews.org/page/journal/pubdates for revised estimates.",0.0
56,56,"Human Health, Environmental Quality and Governance Quality: Novel Findings and Implications From Human Health Perspective","Liqin Zhang, Yuping Yang, Yesong Lin",Frontiers in Public Health,2022,"Human health and wellbeing are intimately linked to the state of the environment. The current study emphasizes the role of environmental quality, government policies, and human health. This paper provides a detailed literature review of existing findings regarding our key variables of interest. The results argue that the implications of poor government policies and environmental pollution for rising economic development have led to poor environmental quality and health issues for humans. Based on earlier investigations, the present study reviewed the state-of-the-art review and determined innovative insights for outdoor and indoor environment difficulties. This study provides a detailed review of human health, environmental quality, and governance quality. In addition, the study conducts an empirical analysis using the annual data of low-income countries from 1996 to 2020. Government actions and health systems must be modified immediately to address these rising concerns successfully. The report offers policy recommendations for addressing health, governance, and environmental change mitigation issues, all of which are directly or indirectly related to the study. This article presents an overview of environmental change's health impacts and explores how health hazards may be reduced or eliminated through effective adaptation strategies.",0.0
57,57,Quality of Life Is Associated With Survival in Patients With Gastric Cancer: Results From the Randomized CRITICS Trial.,"R. V. van Amelsfoort, I. Walraven, J. Kieffer",Journal of the National Comprehensive Cancer Network : JNCCN,2022,"BACKGROUND
The evaluation of health-related quality of life (HRQoL) in clinical trials has become increasingly important because it addresses the impact of treatment from the patient's perspective. The primary aim of this study was to investigate the effect of postoperative chemotherapy and chemoradiotherapy (CRT) after neoadjuvant chemotherapy and surgery with extended (D2) lymphadenectomy on HRQoL in the CRITICS trial. Second, we investigated the potential prognostic value of pretreatment HRQoL on event-free survival (EFS) and overall survival (OS).


PATIENTS AND METHODS
Patients in the CRITICS trial were asked to complete HRQoL questionnaires (EORTC Quality-of-Life Questionnaire-Core 30 and Quality-of-Life Questionnaire gastric cancer-specific module) at baseline, after preoperative chemotherapy, after surgery, after postoperative chemotherapy or CRT, and at 12 months follow-up. Patients with at least 1 evaluable questionnaire (645 of 788 randomized patients) were included in the HRQoL analyses. The predefined endpoints included dysphagia, pain, physical functioning, fatigue, and Quality-of-Life Questionnaire-Core 30 summary score. Linear mixed modeling was used to assess differences over time and at each time point. Associations of baseline HRQoL with EFS and OS were investigated using multivariate Cox proportional hazards analyses.


RESULTS
At completion of postoperative chemo(radio)therapy, the chemotherapy group had significantly better physical functioning (P=.02; Cohen's effect size = 0.42) and less dysphagia (P=.01; Cohen's effect size = 0.38) compared with the CRT group. At baseline, worse social functioning (hazard ratio [HR], 2.20; 95% CI, 1.36-3.55; P=.001), nausea (HR, 1.89; 95% CI, 1.39-2.56; P<.001), worse WHO performance status (HR, 1.55; 95% CI, 1.13-2.13; P=.007), and histologic subtype (diffuse vs intestinal: HR, 1.94; 95% CI, 1.42-2.67; P<.001; mixed vs intestinal: HR, 2.35; 95% CI, 1.35-4.12; P=.003) were significantly associated with worse EFS and OS.


CONCLUSIONS
In the CRITICS trial, the chemotherapy group had significantly better physical functioning and less dysphagia after postoperative treatment. HRQoL scales at baseline were significantly associated with EFS and OS.",0.0
58,58,A systematic review of population and patient perspectives and experiences as measured in Latin American and Caribbean surveys.,"Jesús Medina-Ranilla, L. Espinoza, Agustina Mazzoni",Health policy and planning,2023,"High-quality health systems must provide accessible, people-centred care to both improve health and maintain population trust in health services. Furthermore, accurate measurement of population perspectives is vital to hold health systems accountable and to inform improvement efforts. To describe the current state of such measures in Latin America and the Caribbean (LAC), we conducted a systematic review of facility and population-based assessments that included patient-reported experience and satisfaction measures. Five databases were searched for publications on quantitative surveys assessing healthcare quality in Spanish- or Portuguese-speaking LAC countries, focusing on the domains of processes of care and quality impacts. We included articles published since 2011 with a national sampling frame or inclusion of multiple subnational regions. We tabulated and described these articles, identifying, classifying and summarizing the items used to assess healthcare quality into the domains mentioned earlier. Of the 5584 publications reviewed, 58 articles met our inclusion criteria. Most studies were cross-sectional (95%), assessed all levels of healthcare (57%) and were secondary analyses of existing surveys (86%). The articles yielded 33 unique surveys spanning 12 LAC countries; only eight of them are regularly administered surveys. The most common quality domains assessed were satisfaction (in 33 out of 58 articles, 57%), evidence-based/effective care (34%), waiting times (33%), clear communication (33%) and ease of use (31%). Items and reported ratings varied widely among instruments used, time points and geographical settings. Assessment of patient-reported quality measures through population- and facility-based surveys is present but heterogeneous in LAC countries. Satisfaction was measured frequently, although its use in accountability or informing quality improvement is limited. Measurement of healthcare quality in LAC needs to be more systematic, regular, comprehensive and to be led collaboratively by researchers, governments and policymakers to enable comparison of results across countries and to effectively inform policy implementation.",0.0
59,59,Development of a Quality-of-Life Instrument to Measure Current Health Outcomes: Health-Related Quality of Life with Six Domains (HRQ-6D),"M. Bujang, W. Lai, Selvasingam Ratnasingam",Journal of Clinical Medicine,2023,"Health-related quality of life (HRQOL) is one of the most important outcome measures to be assessed by medical research. This study aims to develop and validate an instrument called the “health-related quality of life with six domains” (HRQ-6D), which aims to measure an individual’s health-related quality of life within a 24 h period of time. This is a questionnaire development study involving five phases, which are (i) to explore the subject matter content for gaining a better understanding of the topic, (ii) to develop the questionnaire, (iii) to assess both its content validity and face validity, (iv) to conduct a pilot study, and finally, (v) to undertake a field testing of the questionnaire. For the field-testing phase, a cross-sectional study involving a self-administered survey for HRQ-6D items was conducted among healthcare workers with various health conditions. Exploratory factor analysis was initially applied to construct the major dimensions of the HRQ-6D. Confirmatory factor analysis was subsequently applied to evaluate the model fit of the overall framework of the HRQ-6D. The clinical utility of this HRQ-6D was also assessed via its association with actual clinical evidence. A total of 406 respondents participated in the survey. Six domains were identified from the analysis, namely “pain”, “physical strength”, “emotion”, “self-care”, “mobility”, and “perception of future health” comprising two items in each domain. Each domain was reported to have a minimum value of Cronbach’s alpha of 0.731, and the model fit for the overall framework of the HRQ-6D was also found to be excellent. Exploratory factor analysis was undertaken for the 12 items of the HRQ-6D. All the domains can be categorized into three major dimensions, namely “health”, “body function”, and “future perception”, with a minimum value for their factor loadings of at least 0.507. A notable finding was that the HRQ-6D was significantly associated with an individual’s existing comorbidities and current status of health (p < 0.05). This study successfully validated the HRQ-6D, and we found it to possess both excellent levels of reliability and validity and a satisfactory degree of model fit; it was also significantly associated with actual clinical evidence.",0.026494523566515313
60,60,Wasting resources in health care – unnecessary hospitalisations and over-medicalisation: The health workers’ or the health systems’ fault? Evidence from Romania and Tajikistan and implications for global health,"Sophie Jullien, S. Carai · May 5, 202",Journal of Global Health,2023,"Quality of care is a key element of universal health coverage [1]. The World Health Organization (WHO) defines it as the degree to which health services increase the likelihood of desired health outcomes; health care should be effective, safe, people-centred, timely, equitable, integrated, and efficient [1,2]. Waste in health care is any activity that does not add value to patient care and should be avoided [2]. Hospitals have a long-standing major role in patient survival. However, hospitalisation can cause psychological, emotional, and physical distress, increase the risk of nosocomial infections, contribute to the disruption of work and education, and represent a considerable financial burden incurred both by patients and the health system [3]. In the WHO European Region, 10% of patients experience preventable harm or adverse events in hospitals [4]. Hospitalisation should therefore be limited to those who cannot be safely managed at the primary health care (PHC) level.",0.0
61,61,Quality of adolescent and youth-friendly sexual and reproductive health services and associated factors in Ethiopia: a systematic review and meta-analysis,"Getachew Assefa Zenebe, Temesgen Muche Ewunie, M. Belay",Frontiers in Public Health,2023,"Background Low-quality health care services are linked to a variety of health problems, which can have negative effects on adolescent and youth health. As a result, national data is crucial to providing high-quality healthcare to adolescents and youths in order to promote their health, wellness, and growth. Objective To examine the quality of young people's sexual and reproductive health care services and factors associated with service satisfaction in Ethiopia. Methods This review was carried out in accordance with the PRISMA guideline. We reviewed published data related to the quality of adolescent and youth-friendly sexual and reproductive health services (AYSRHS) in Ethiopia from January 02, 2002 to December 30, 2022. Relevant studies were identified through Google Scholar, PubMed, Cochrane Library, Science Direct, and HINARI. The extracted data was imported into STATA version 14.0 software for analysis. Heterogeneity among the reported prevalence of studies was checked using χ2 and I2 tests. The publication bias was examined by Egger's correlation and Begg's regression intercept tests at a 5% significance level. Results The national pooled magnitude of structural, process, and output dimensions of quality of AYSRHS is 54.22% (95% CI: 33.21, 75.24%), 35.44% (95% CI: 24.95, 45.93%), and 57.01% (95% CI: 50.32, 63.7%), respectively. Being female (AOR: 1.61, 95% CI: 1.14–2.27), employed (AOR: 1.82, 95% CI: 1.06–3.14), waiting <30 min to get services (AOR: 2.7, 95% CI: 1.69–4.31), and getting information on the availability of services (AOR: 1.56, 95% CI: 1.15–2.11) were significantly associated with client satisfaction with AYSRHS. Conclusion The overall magnitude of quality of AYSRHS in the three dimensions is far below WHO quality standards, which are 75 percent for good quality. Sex, employment status, waiting time to get services, and information on the availability of services were significantly associated with client satisfaction with AYSRHS. Therefore, different stakeholders on different levels should work together to strengthen the quality of AYSRHS concidering the above factors. Systematic review registration Identifier [CRD42023422667].",0.0
62,62,Early Experience of the Quality Improvement Award Program in Federally Funded Health Centers.,"Janel L Jin, Josh Bolton, Robert S. Nocon",Health services research,2022,"OBJECTIVES
To describe the Health Resources and Services Administration's Quality Improvement Award (QIA) program, award patterns, and early lessons learned.


STUDY SETTING
1413 health centers eligible for QIA from 2014 to 2018.


STUDY DESIGN
We assessed cumulative QIA funding earned and modified funding excluding payments for per-patient bonuses, electronic health record (EHR) use, patient-centered medical home (PCMH) accreditation, and health information technology. We compared health centers on rural/urban location, PCMH accreditation, EHR reporting, and size.


DATA COLLECTION
Organizational and quality measures reported in the Uniform Data System, QIA program data.


PRINCIPAL FINDINGS
Average cumulative funding was higher for health centers that were not rural ($380,387 [± $233,467] vs $303,526 [± $164,272]), had PCMH accreditation ($401,675 [± $218,246] vs $250,784 [± $144,404]), used their EHR for quality reporting ($374,214 (± $222,866) vs $331,150 (± $198,689)), and were large ($435,473 (± $238,193) vs $270,681 (±$114,484) $231,917 (±$97,847) for small and medium centers, respectively). There were similar patterns, with smaller differences, for average modified payments.


CONCLUSIONS
QIA is an important feasible initiative to introduce value-based payment principles to health centers. Early lessons for program design include announcing award criteria in advance and focusing on a smaller number of priority targets.",0.036296096282048496
63,63,Barriers to and enablers of quality improvement in primary health care in low- and middle-income countries,"Camlus O Odhus, R. Kapanga, E. Oele · Jul 31, 202",Journal name not available for this finding,2023,"The quality of health care remains generally poor across primary health care settings, especially in low- and middle-income countries where tertiary care tends to take up much of the limited resources despite primary health care being the first (and often the only) point of contact with the health system for nearly 80 per cent of people in these countries. Evidence is needed on barriers and enablers of quality improvement initiatives. This systematic review sought to answer the question: What are the enablers of and barriers to quality improvement in primary health care in low- and middle-income countries? It adopted an integrative review approach with narrative evidence synthesis, which combined qualitative and mixed methods research studies systematically. Using a customized geographic search filter for LMICs developed by the Cochrane Collaboration, Scopus, Academic Search Ultimate, MEDLINE, CINAHL, PSYCHINFO, EMBASE, ProQuest Dissertations and Overton.io (a new database for LMIC literature) were searched in January and February 2023, as were selected websites and journals. 7,077 reports were retrieved. After removing duplicates, four reviewers screened titles, abstracts, and full texts, and performed quality appraisal and data extraction and synthesis. 50 reports from 47 studies were included, covering 52 LMIC settings. Six themes related to barriers and enablers of quality improvement were identified and organized using the model for understanding success in quality (MUSIQ) and the consolidated framework for implementation research (CFIR). These were: microsystem of quality improvement, intervention attributes, implementing organization and team, health systems support and capacity, external environment and structural factors, and execution. Decision makers, practitioners, funders, implementers, and other stakeholders can use the evidence from this systematic review to minimize barriers and amplify enablers to better the chances that quality improvement initiatives will be successful in resource-limited settings.",0.0
64,64,Measuring Inconsistency in Quality Across Patient Groups to Target Quality Improvement,"D. Agniel, Steven C. Martino, Q. Burkhart",Medical Care,2022,"Background: Quality improvement (QI) may be aimed at improving care for all patients, or it may be targeted at only certain patient groups. Health care providers have little guidance when determining when targeted QI may be preferred. Objectives: The aim was to develop a method for quantifying performance inconsistency and guidelines for when inconsistency indicates targeted QI, which we apply to the performance of health plans for different patient groups. Research Design and Measures: Retrospective analysis of 7 Health Care Effectiveness Data and Information Set (HEDIS) measures of clinical care quality. Subjects: All Medicare Advantage (MA) beneficiaries eligible for any of 7 HEDIS measures 2015–2018. Results: MA plans with higher overall performance tended to be less inconsistent in their performance (r=−0.2) across groups defined by race-and-ethnicity and low-income status (ie, dual eligibility for Medicaid or receipt of Low-Income Subsidy). Plan characteristics were usually associated with only small differences in inconsistency. The characteristics associated with differences in consistency [eg, size, Health Maintenance Organization (HMO) status] were also associated with differences in overall performance. We identified 9 (of 363) plans that had large inconsistency in performance across groups (>0.8 SD) and investigated the reasons for inconsistency for 2 example plans. Conclusions: This newly developed inconsistency metric may help those designing and evaluating QI efforts to appropriately determine when targeted QI is preferred. It can be used in settings where performance varies across groups, which can be defined by patient characteristics, geographic areas, hospital wards, etc. Effectively targeting QI efforts is essential in today’s resource-constrained health care environment.",0.0
65,65,Partnering with healthcare organisations to teach pre-registration health professions students about quality improvement: A systematic review.,"V. Mak, G. Brand, J. Morphet · Jul 3, 202",Journal of clinical nursing,2022,"AIMS AND OBJECTIVES
To describe what higher education and healthcare organisation partnerships can be identified in the published literature to teach pre-registration health professions students quality improvement and the impact of these partnerships.


BACKGROUND
Quality improvement has been gaining traction in the Western world and has been incorporated in varying degrees into the curricula for pre-registration health professions students. Providing quality improvement education in partnership with healthcare organisations has been found to be a valuable experiential learning solution, but the impacts of higher education and healthcare organisation partnerships have not been explored.


DESIGN AND METHODS
Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, a systematic review was undertaken using the Ovid MEDLINE, Emcare, CINAHL, Scopus and Eric databases. Studies were subject to quality appraisal using the Critical Appraisal Skills Program validated tools and a thematic analysis and narrative synthesis was undertaken.


RESULTS
Eight studies were included in this review. Features of existing quality improvement partnerships included experiential learning, time pressures and barriers to successful quality improvement partnerships. The impacts of quality improvement partnerships were demonstrated by an increase in quality improvement knowledge and understanding, students leading change and the implementation of quality improvement projects.


CONCLUSION
Several key elements were identified that may act as barriers or enablers to successful implementation of quality improvement partnerships. This review advances understandings of the need for a shift in focus that pays attention to the culture of teaching quality improvement in education partnerships and how this can be achieved in a mutually beneficial way.


RELEVANCE TO CLINICAL PRACTICE
The development of quality improvement partnerships has been found to increase student knowledge and understanding, potentially improving patient outcomes, systems performance and professional development. More research is required on the establishment of quality improvement partnerships and the benefit these collaborations have on students, staff and patients.",0.0
66,66,Measurement of diet quality among First Nations peoples in Canada and associations with health: a scoping review.," · Jul 8, 202",Nutrition reviews,2023,"BACKGROUND
Given the increasing number and the diversity of dietary quality indices used for research, and the differences between settings, there is a need to identify valid indices of dietary quality in different contexts and populations and to identify their associations with health-related outcomes.


OBJECTIVES
The primary objective of this scoping review is to identify the tools used in determining dietary quality among First Nations and to describe the changes in diet. The second objective is to describe the associations identified in studies that have measured the relationship between health and dietary quality among First Nations; and the third objective is to identify factors associated with diet quality.


METHODS
PubMed, Embase, CINAHL, Global Health, and Web of Science were searched from inception to June 2021 and updated in February 2022. Articles were included if the research subjects were First Nations, or if articles reported disaggregated subset data for First Nations. Eligible studies focused on nutrition and diet and were published in English or French.


RESULTS
A total of 151 articles were included in the analysis. Studies used several indicators to measure if individuals adhered to dietary guidelines. Traditional food consumption was frequently used as an indicator of diet quality (n = 96). The consumption of store-bought foods was used as an indicator in 28 studies. Some studies used other diet quality indicators such as the Healthy Eating Index (n = 5) and ultra-processed food ""NOVA"" classification (n = 6). A trend for decreasing traditional food intake over time was apparent, alongside an increase in store-bought food intake. This trend was accompanied with declining health status, including the increased prevalence of overweight and obesity, diabetes, metabolic diseases, and dental caries.


CONCLUSION
This scoping review showed that diet quality among First Nations is improved when traditional foods are consumed. Reduced diet quality was associated with increased risk of noncommunicable diseases.",0.0
67,67,"Health-Related Quality of Life in Children: The Roles of Age, Gender and Interpersonal Trust","Jing Wang, Wenji Jin, Liping Shi",International Journal of Environmental Research and Public Health,2022,"Health-related quality of life (HRQoL) is an interesting topic in health care sciences and psychology. Deeper insight into the internal mechanism of this effect through large samples is crucial to further understanding HRQoL and making targeted suggestions to improve HRQoL. The present study aims to investigate the mediating role of interpersonal trust between age and HRQoL from a developmental lens. The purpose of this study was to profile the Pediatric Quality of Life Inventory 4.0 generic scale in China and test the relationship between age and health-related quality of life, as well as the mediating role of interpersonal trust and the moderating role of gender. A sample of 6248 children completed measures of demography, health-related quality of life, and interpersonal trust. Regression analyses were performed to test the mediating role of interpersonal trust and the moderating role of gender. Age was associated with lower health-related quality of life and lower interpersonal trust. Similarly, gender differences were also noted, with boys reporting higher health-related quality of life and lower interpersonal trust than girls. Additionally, the health-related quality of life of girls declined more than that of boys with increasing age. Regression analyses revealed that age could predict decreased health-related quality of life via lower levels of interpersonal trust. What is more, the mediation effect was moderated by gender, with the observed mediation effect being stronger among boys than girls. The current study replicates age and gender differences in health-related quality of life and interpersonal trust. Moreover, this study explained how and when age affected the health-related quality of life of children, and provided a deeper understanding of the relation between age and health-related quality of life.",0.0
68,68,Sociodemographic Aspects and Healthy Behaviors Associated With Perceived Life Satisfaction in Health Professionals,"Esther Durand-Sanchez, Carlos Ruiz-Alvarado, Ricardo Contreras-Valderrama",Journal of Primary Care & Community Health,2023,"Background: Life satisfaction is a determining factor for the improvement of mental and physical health. Health care workers are a vulnerable population to suffer alterations in the factors that affect life satisfaction. Determining the influence of these factors on quality of life is important for their proper management. Objective: To examine sociodemographic factors and healthy behaviors influencing life satisfaction in Peruvian professionals. Methods: A cross-sectional study was conducted with 506 health care workers, who had a mean age of 40.34 years (SD = 10.39). A sociodemographic questionnaire, sleep quality, physical activity, eating habits, and life satisfaction were used. A regression model was fitted with the life satisfaction variable as the dependent variable. Results: In multivariable analysis, age (β = −.938, P < .01) and perception of poor health status (β = −4.743, P < .001) were found to be associated with lower life satisfaction. On the other hand, higher university education level (β = 1.667, P < .001), absence of smoking (β = 3.202, P < .01), absence of depressive symptoms (β = 3.390, P < .001), interest in daily activities (β = 3.503, P < .05), good sleep quality (β = 1.027, P < .01), a high frequency of physical activity (β = 1.056, P < .01), and healthy eating are variables associated with higher life satisfaction. Conclusion: Sociodemographic aspects such as age and the perception of poor health are associated with lower life satisfaction. On the other hand, healthy behaviors such as absence of smoking, absence of depressive symptoms, interest in daily activities, good quality of sleep, high frequency of physical activity, and a healthy diet were associated with higher life satisfaction.",0.0
69,69,Electronic health record data quality assessment and tools: a systematic review,"Abbie Lewis, N. Weiskopf, Zachary B. Abrams",Journal of the American Medical Informatics Association : JAMIA,2023,"Abstract Objective We extended a 2013 literature review on electronic health record (EHR) data quality assessment approaches and tools to determine recent improvements or changes in EHR data quality assessment methodologies. Materials and Methods We completed a systematic review of PubMed articles from 2013 to April 2023 that discussed the quality assessment of EHR data. We screened and reviewed papers for the dimensions and methods defined in the original 2013 manuscript. We categorized papers as data quality outcomes of interest, tools, or opinion pieces. We abstracted and defined additional themes and methods though an iterative review process. Results We included 103 papers in the review, of which 73 were data quality outcomes of interest papers, 22 were tools, and 8 were opinion pieces. The most common dimension of data quality assessed was completeness, followed by correctness, concordance, plausibility, and currency. We abstracted conformance and bias as 2 additional dimensions of data quality and structural agreement as an additional methodology. Discussion There has been an increase in EHR data quality assessment publications since the original 2013 review. Consistent dimensions of EHR data quality continue to be assessed across applications. Despite consistent patterns of assessment, there still does not exist a standard approach for assessing EHR data quality. Conclusion Guidelines are needed for EHR data quality assessment to improve the efficiency, transparency, comparability, and interoperability of data quality assessment. These guidelines must be both scalable and flexible. Automation could be helpful in generalizing this process.",0.0
70,70,Scoping review of the association of plant-based diet quality with health outcomes,"R. Rosenfeld, Hailey M. Juszczak, Michele A. Wong · Aug 10, 202",Frontiers in Nutrition,2023,"Introduction The association of plant-based dietary patterns with health outcomes has traditionally been assessed without considering nutritional value. The plant-based dietary index (PDI), first published in 2016, overcomes this limitation with both a healthful PDI (hPDI) and an unhealthful PDI (uPDI), based on the quality of plant foods consumed plus the frequency of animal foods. We sought to summarize the breadth of research using the hPDI and uPDI to gain insight into how the quality of plant-based dietary patterns might be associated with health outcomes. Methods Scoping review of studies that used the PDI, hPDI, or uPDI to report associations with health outcomes. Multiple databases were searched from 2010 through April 2023 with 2 authors independently assessing eligibility and extracting data. In addition to assessing the association of the indices to health outcomes, we determined the frequency of concordant or discordant findings for hPDI versus PDI and for hPDI versus uPDI. Results We included 95 articles (54% longitudinal, 37% cross-sectional, and 9% case–control) with a median sample size of 3,646. Higher hPDI levels were associated with favorable health outcomes in 36% of comparisons (most often for obesity, mortality, diabetes, cardiovascular disease, and psychiatric disorders), compared to 25% for the PDI and only 2% for the uPDI. Conversely, higher levels of the uPDI were associated with unfavorable health outcomes in 33% of comparisons, in contrast to under 1% for the hPDI and 2% for the PDI. When the hPDI association to an outcome was discordant with the uPDI or PDI, the significance and directionality always favored the hPDI over the uPDI, and nearly always favored the hPDI over the PDI. Discussion Dietary indices that account for the quality of plant foods can show health benefits that might be missed by a generic plant-based index. A greater focus on the quality of plant foods could improve nutrition guidelines, raise awareness about the benefits of adding unrefined plant foods to the diet, and empower consumers to make incremental additions of such foods to displace unhealthy foods. We anticipate increasing use of indices that address food quality in future research.",0.0
71,71,A Formal Framework For Incorporating Equity Into Health Care Quality Measurement.,"Denis Agniel, Irineo Cabreros, C. Damberg",Health affairs,2023,"Quality measurement is an important tool for incentivizing improvement in the quality of health care. Most quality measurement efforts do not explicitly target health equity. Although some measurement approaches may intend to realign incentives to focus quality improvement efforts on underserved groups, the extent to which they accomplish this goal is understudied. We posit that tying incentives to approaches on the basis of stratification or disparities may have unintended consequences or limited effects. Such approaches might not reduce existing disparities because addressing one aspect of equity may be in competition with addressing others. We propose equity weighting, a new measurement framework to advance equity on multiple fronts that addresses the shortcomings of existing approaches and explicitly calibrates incentives to align with equity goals. We use colorectal cancer screening data derived from 2017 Medicare claims to illustrate how equity weighting fixes unintended consequences in other methods and how it can be adapted to policy goals.",0.0
